Marlena;Kot;K;2;
Olga;Nowak;K;3;abc4@gmail.pl
Anna;Adamek;K;3;abc5@op.pl
Anna;Adamczyk;K;3;abc6@op.pl
Jolanta;Pies;K;3;abc15@outlook.com
Dominika;Gaweda;K;3;abc18@gmail.pl
Dagmara;Sokal;K;4;abc19@gmail.com
Marlena;Nowak;K;4;abc24@hotmail.com
Mariola;Mazur;K;4;abc9@interia.pl
Agata;Kowalska;K;4;abc@op.pl
Edyta;Katar;K;5;abc29@gmail.pl
Monika;Mazur;K;5;abc7@outlook.com
Marlena;Kot;K;2;
Olga;Nowak;K;3;abc4@gmail.pl
Anna;Adamek;K;3;abc5@op.pl
Anna;Adamczyk;K;3;abc6@op.pl
Jolanta;Pies;K;3;abc15@outlook.com
Dominika;Gaweda;K;3;abc18@gmail.pl
Dagmara;Sokal;K;4;abc19@gmail.com
Marlena;Nowak;K;4;abc24@hotmail.com
Mariola;Mazur;K;4;abc9@interia.pl
Agata;Kowalska;K;4;abc@op.pl
Edyta;Katar;K;5;abc29@gmail.pl
Monika;Mazur;K;5;abc7@outlook.com
